,2023-07-31
AGL.AX,1.4686746144886569
XRO.AX,1.309299377322373
WTC.AX,1.2513127766991
AKE.AX,1.209795893455038
IAG.AX,1.1907630131780365
FLT.AX,1.1881037492927449
WOR.AX,1.1542553626584373
SUN.AX,1.1402243619113033
CSR.AX,1.1318354171744052
WDS.AX,1.127969160755283
