,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
109,MEZ,4.90 ,−3.16%,−0.16 AUD,Sell,35.77K,175.273K AUD,8.233B USD,5.71%,18.51,0.18 USD,1.007K
110,MFF,2.91 ,0.34%,0.01 AUD,Buy,99.662K,290.016K AUD,1.075B USD,—,5.26,0.37 USD,—
111,MFG,10.32 ,−0.96%,−0.10 AUD,Buy,1.67M,17.236M AUD,1.202B USD,−29.23%,10.27,0.67 USD,115
112,MGF,1.700 ,−0.58%,−0.010 AUD,Neutral,2.233M,3.796M AUD,1.62B USD,—,—,−1.14 USD,—
113,MGR,2.29 ,−3.38%,−0.08 AUD,Sell,12.64M,28.946M AUD,5.986B USD,7.73%,—,−0.03 USD,1.738K
114,MIN,63.99 ,0.98%,0.62 AUD,Sell,596.429K,38.165M AUD,7.83B USD,6.33%,16.95,2.60 USD,3.863K
115,MP1,10.39 ,−5.63%,−0.62 AUD,Neutral,1.506M,15.65M AUD,1.12B USD,39.97%,—,−0.16 USD,—
116,MPL,3.46 ,−0.29%,−0.01 AUD,Neutral,6.922M,23.948M AUD,6.119B USD,−4.93%,23.41,0.10 USD,3.291K
117,MQG,170.12 ,0.78%,1.32 AUD,Sell,516.589K,87.882M AUD,40.081B USD,−7.40%,12.92,9.06 USD,20.509K
118,MTS,3.62 ,−0.82%,−0.03 AUD,Strong Sell,1.776M,6.429M AUD,2.256B USD,−15.12%,13.54,0.18 USD,8K
119,MXT,2.000 ,0.25%,0.005 AUD,Buy,2.142M,4.284M AUD,1.127B USD,—,17.32,0.08 USD,—
120,NAB,27.57 ,−0.40%,−0.11 AUD,Sell,3.942M,108.687M AUD,55.533B USD,−11.37%,12.42,1.55 USD,35.558K
121,NCM,24.79 ,−0.80%,−0.20 AUD,Sell,2.298M,56.963M AUD,14.267B USD,29.31%,19.24,0.86 USD,—
122,NEC,2.00 ,−0.75%,−0.02 AUD,Strong Sell,2.158M,4.306M AUD,2.193B USD,−2.43%,12.25,0.11 USD,—
