,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
147,RRG,2.67,0.38%,0.01AUD,Sell,2.493M,6.655M,2.095BUSD,6.08,0.30USD,—,Finance
148,RHC,67.23,0.16%,0.11AUD,Buy,478.099K,32.143M,10.63BUSD,57.82,0.80USD,86K,Health Services
149,RIO,120.67,−1.23%,−1.50AUD,Buy,1.132M,136.583M,124.351BUSD,8.16,10.40USD,49.345K,Non-Energy Minerals
150,RMD,31.95,1.72%,0.54AUD,Buy,905.01K,28.915M,31.948BUSD,41.77,0.48USD,8.16K,Health Technology
151,RRL,2.17,−4.82%,−0.11AUD,Buy,6.332M,13.741M,1.197BUSD,125.97,0.01USD,—,Non-Energy Minerals
152,RWC,3.49,−0.29%,−0.01AUD,Buy,4.434M,15.474M,1.906BUSD,14.53,0.17USD,—,Producer Manufacturing
153,S32,4.56,−2.98%,−0.14AUD,Buy,19.491M,88.879M,14.903BUSD,5.96,0.55USD,9.096K,Non-Energy Minerals
154,SCG,3.02,0.00%,0.00AUD,Buy,8.296M,25.054M,10.886BUSD,16.25,0.13USD,2.78K,Finance
155,SDF,5.39,0.56%,0.03AUD,Buy,1.05M,5.659M,3.856BUSD,30.03,0.13USD,—,Finance
156,SEK,23.72,−1.50%,−0.36AUD,Buy,1.095M,25.984M,5.923BUSD,50.63,0.33USD,—,Technology Services
157,SFR,6.07,−3.34%,−0.21AUD,Buy,3.077M,18.677M,1.995BUSD,16.49,0.26USD,—,Non-Energy Minerals
158,SGM,14.78,−0.40%,−0.06AUD,Buy,731.573K,10.813M,1.987BUSD,5.02,2.09USD,4.071K,Non-Energy Minerals
159,SGP,3.87,1.04%,0.04AUD,Strong Buy,6.86M,26.55M,6.348BUSD,6.63,0.40USD,1.8K,Finance
160,SGR,1.905,0.53%,0.010AUD,Sell,5.061M,9.642M,1.247BUSD,—,−0.15USD,682,Consumer Services
161,SHL,31.37,0.29%,0.09AUD,Buy,648.23K,20.335M,10.459BUSD,10.34,2.11USD,41K,Health Services
162,SKC,2.35,−1.26%,−0.03AUD,Sell,222.73K,523.416K,1.251BUSD,—,−0.03USD,3.923K,Consumer Services
163,SSM,3.38,0.30%,0.01AUD,Buy,3.645M,12.32M,2.112BUSD,6.26,0.37USD,—,Energy Minerals
164,SNZ,8.49,0.47%,0.04AUD,Sell,67,569,1.347BUSD,5.19,1.13USD,1.368K,Health Services
165,SOL,28.65,0.28%,0.08AUD,Buy,285.529K,8.18M,7.17BUSD,—,−0.08USD,—,Energy Minerals
166,SPK,4.86,−0.21%,−0.01AUD,Sell,482.405K,2.344M,6.345BUSD,24.59,0.14USD,5.144K,Communications
167,SQ2,102.75,−1.66%,−1.73AUD,Neutral,58.835K,6.045M,42.852BUSD,—,−0.82USD,8.521K,Technology Services
168,STO,7.38,0.54%,0.04AUD,Buy,8.229M,60.729M,16.872BUSD,11.02,0.46USD,3.786K,Energy Minerals
169,SUL,12.25,−0.73%,−0.09AUD,Buy,966.005K,11.834M,1.938BUSD,11.66,0.74USD,14.883K,Distribution Services
170,SUN,11.88,0.93%,0.11AUD,Buy,1.978M,23.494M,10.345BUSD,22.93,0.37USD,13K,Finance
171,SVW,22.52,0.18%,0.04AUD,Buy,718.491K,16.18M,5.672BUSD,14.74,1.06USD,6.175K,Distribution Services
172,SYA,0.225,−2.17%,−0.005AUD,Buy,18.64M,4.194M,1.389BUSD,25.56,0.01USD,—,Process Industries
173,TAH,1.100,−0.90%,−0.010AUD,Buy,21.32M,23.452M,1.759BUSD,—,—,—,Consumer Services
174,TCL,13.61,−0.37%,−0.05AUD,Buy,4.119M,56.059M,29.206BUSD,3104.55,0.00USD,9K,Transportation
175,TTL,4.80,−0.41%,−0.02AUD,Buy,3.588M,17.221M,7.459BUSD,—,—,—,Consumer Services
176,TLS,4.09,1.74%,0.07AUD,Strong Buy,21.255M,86.932M,32.24BUSD,28.01,0.10USD,28.889K,Communications
177,TLX,6.51,−0.46%,−0.03AUD,Sell,866.42K,5.64M,1.438BUSD,—,−0.28USD,158,Health Technology
178,TNE,13.71,−0.15%,−0.02AUD,Strong Buy,383.854K,5.263M,3.098BUSD,50.15,0.18USD,—,Technology Services
